89968803,268,-7503
89970366,262,-7511
89972449,255,-7520
89974012,249,-7527
89975574,243,-7535
89977658,235,-7544
89979220,230,-7551
89980782,224,-7559
89982865,216,-7568
89984428,210,-7575
89986001,204,-7583
89988081,196,-7592
89989645,190,-7599
89991207,184,-7606
89993290,177,-7616
89994853,171,-7623
89996415,165,-7630
89998500,157,-7640
90000061,151,-7647
90001624,145,-7654
90003706,137,-7663
90005269,131,-7670
90006833,125,-7678
90008915,117,-7687
90010477,111,-7694
90012042,105,-7701
90014124,96,-7711
90015687,90,-7718
90017249,84,-7725
90018811,78,-7732
90020374,72,-7739
90021936,66,-7746
90024019,58,-7756
90025582,51,-7763
90027144,45,-7770
90028708,39,-7777
90030269,33,-7784
90031832,26,-7791
90033914,18,-7801
90035478,12,-7808
90037040,5,-7815
90038602,-1,-7822
90040166,-7,-7829
90041728,-14,-7836
90043810,-22,-7845
90045374,-28,-7852
90046937,-34,-7860
90049019,-43,-7869
90050582,-49,-7876
90052145,-56,-7883
90054228,-64,-7892
90055790,-70,-7899
90057354,-77,-7906
90059436,-85,-7916
90060998,-92,-7923
90062562,-98,-7930
90064644,-106,-7939
90066207,-113,-7946
90068290,-122,-7955
90069853,-128,-7962
90071936,-137,-7972
90073500,-143,-7979
90075581,-152,-7988
90077144,-158,-7995
90079228,-167,-8004
90080790,-174,-8011
90082873,-182,-8020
90084437,-189,-8027
90086520,-198,-8037
90088081,-204,-8044
90090166,-213,-8053
90091728,-219,-8060
90093810,-228,-8069
90095373,-234,-8076
90097456,-243,-8085
90099019,-249,-8092
90101103,-258,-8101
90102665,-265,-8108
90104747,-274,-8117
90106312,-280,-8124
90108394,-289,-8133
90109957,-296,-8140
90112040,-304,-8149
90113603,-311,-8156
90115686,-320,-8165
90117251,-327,-8172
90119332,-336,-8181
90120895,-342,-8188
90122979,-351,-8197
90124540,-358,-8203
90126624,-367,-8212
90128187,-373,-8219
90130269,-382,-8228
90131832,-389,-8235
90133916,-398,-8244
90135478,-405,-8250
90137561,-414,-8259
90139123,-420,-8266
90141207,-429,-8275
90142769,-436,-8281
90144852,-445,-8290
90146415,-452,-8297
90148500,-461,-8306
90150061,-468,-8312
90152144,-477,-8321
90153707,-484,-8328
90155789,-493,-8336
90157353,-500,-8343
90159437,-509,-8352
90160999,-516,-8358
90163081,-525,-8367
90164645,-532,-8373
90166727,-541,-8382
90168292,-548,-8389
90170373,-557,-8397
90171937,-564,-8404
90174021,-573,-8412
90175583,-580,-8419
90177664,-589,-8427
90179229,-596,-8434
90181311,-605,-8442
90182874,-612,-8449
90184958,-621,-8457
90186521,-628,-8464
90188604,-638,-8472
90190167,-645,-8478
90192248,-654,-8487
90193813,-661,-8493
90195895,-670,-8501
90197457,-677,-8508
90199540,-686,-8516
90201104,-693,-8522
90203186,-702,-8531
90204750,-710,-8537
90206834,-719,-8545
90208394,-726,-8551
90210478,-735,-8560
90212042,-742,-8566
90214123,-752,-8574
90215686,-758,-8580
90217771,-768,-8588
90219332,-775,-8594
90221416,-784,-8603
90222979,-791,-8609
90225061,-801,-8617
90226623,-808,-8623
90228708,-817,-8631
90230269,-824,-8637
90232353,-834,-8645
90233916,-840,-8651
90235998,-850,-8659
